Census year,Occupation,Total Weight,Female,Male,,,,
1960,postmaster,47960,0.463302752,0.536697248,,,,
1880,shoemaker,7352.7,0.014198866,0.985801134,,,,
1970,pilot,106800,0.014981273,0.985018727,,,,
1990,carpenter,1635108,0.018960827,0.981039173,,,,
1850,sales,104178.98,0,1,,,,
1960,stereotyper,9900,0.014141414,0.985858586,,,,
2005,broker,2611635,0.577913453,0.422086547,,,,
1970,artist,268400,0.439642325,0.560357675,,,,
1930,clerk,161123.35,0.035221338,0.964778662,,,,
2013,psychologist,221976,0.718852489,0.281147511,,,,
2006,millwright,70883,0.030754906,0.969245094,,,,
2007,electrician,1034419,0.023802734,0.976197266,,,,
2003,instructor,1375917,0.457197636,0.542802364,,,,
2012,waitstaff,3086401,0.724815732,0.275184268,,,,
2004,police,1029210,0.154517543,0.845482457,,,,
1950,farmer,4434463,0.026492949,0.973507051,,,,
2009,toolmaker,89711,0.024500897,0.975499103,,,,
1930,dentist,71108.87,0.026918442,0.973081558,,,,
1990,upholsterer,87564,0.247521813,0.752478187,,,,
1940,molder,78478,0.009811667,0.990188333,,,,
2010,mason,224409,0.006871382,0.993128618,,,,
2008,attendant,9087071,0.811714248,0.188285752,,,,
1900,setter,8151,0.012140842,0.987859158,,,,
1970,smith,349900,0.02886539,0.97113461,,,,
2008,lawyer,1157993,0.351469309,0.648530691,,,,
1970,typesetter,373800,0.180845372,0.819154628,,,,
1960,setter,204880,0.009371339,0.990628661,,,,
1920,bookbinder,23322.61,0.499165402,0.500834598,,,,
2004,electrician,945045,0.030086398,0.969913602,,,,
1910,farmer,6429640,0.049602777,0.950397223,,,,
1940,bailiff,14942,0.026770178,0.973229822,,,,
