Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: West Virginia"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","218","218","0"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","230","219","11"
"PRD-Tool And Die Makers","140","70","70"
"PRD-Welding, Soldering, And Brazing Workers","5076","4987","89"
"PRD-Other Metal Workers And Plastic Workers","1637","1570","67"
"PRD-Prepress Technicians And Workers","216","126","90"
"PRD-Printing Press Operators","728","568","160"
"PRD-Print Binding And Finishing Workers","229","208","21"
"PRD-Laundry And Dry-Cleaning Workers","1756","546","1210"
"PRD-Pressers, Textile, Garment, And Related Materials","204","97","107"
"PRD-Sewing Machine Operators","495","179","316"
"PRD-Shoe And Leather Workers","46","20","26"
"PRD-Tailors, Dressmakers, And Sewers","214","22","192"
"PRD-Textile Machine Setters, Operators, And Tenders","11","11","0"
"PRD-Upholsterers","147","74","73"
"PRD-Other Textile, Apparel, And Furnishings Workers","27","27","0"
"PRD-Cabinetmakers And Bench Carpenters","308","237","71"
"PRD-Furniture Finishers","40","18","22"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","734","724","10"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","154","82","72"
"PRD-Other Woodworkers","382","321","61"
"PRD-Power Plant Operators, Distributors, And Dispatchers","580","568","12"
"PRD-Stationary Engineers And Boiler Operators","497","497","0"
"PRD-Water And Wastewater Treatment Plant And System Operators","1034","996","38"
"PRD-Miscellaneous Plant And System Operators","681","668","13"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","1392","1251","141"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","1200","1125","75"
"PRD-Cutting Workers","239","209","30"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","796","773","23"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","41","41","0"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","4666","3005","1661"
"PRD-Jewelers And Precious Stone And Metal Workers","50","15","35"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","465","33","432"
"PRD-Packaging And Filling Machine Operators And Tenders","928","387","541"
