Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","32839","1279","31560"
"OFF-Data Entry Keyers","3475","799","2676"
"OFF-Word Processors And Typists","2129","231","1898"
"OFF-Insurance Claims And Policy Processing Clerks","2423","315","2108"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","530","256","274"
"OFF-Office Clerks, General","14903","2617","12286"
"OFF-Office Machine Operators, Except Computer","281","58","223"
"OFF-Proofreaders And Copy Markers","225","86","139"
"OFF-Statistical Assistants","188","87","101"
"OFF-Other Office And Administrative Support Workers","4877","1443","3434"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","1100","1053","47"
"FFF-Agricultural Inspectors","403","126","277"
"FFF-Graders And Sorters, Agricultural Products","746","478","268"
"FFF-Other Agricultural Workers","15329","12826","2503"
"FFF-Fishing And Hunting Workers","171","100","71"
"FFF-Forest And Conservation Workers","165","165","0"
"FFF-Logging Workers","3254","3150","104"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","8834","8647","187"
"CON-Boilermakers","513","513","0"
"CON-Carpenters","13342","12772","570"
"CON-Carpet, Floor, And Tile Installers And Finishers","1442","1442","0"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","832","782","50"
"CON-Construction Laborers","21620","20691","929"
"CON-Construction Equipment Operators","5515","5423","92"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","1784","1650","134"
"CON-Electricians","8722","8480","242"
"CON-Glaziers","349","349","0"
"CON-Insulation Workers","634","615","19"
"CON-Painters And Paperhangers","5198","4660","538"
"CON-Pipelayers","714","665","49"
"CON-Plumbers, Pipefitters, And Steamfitters","6127","6031","96"
"CON-Plasterers And Stucco Masons","185","185","0"
"CON-Roofers","2927","2867","60"
"CON-Sheet Metal Workers","1227","1123","104"
"CON-Structural Iron And Steel Workers","583","583","0"
"CON-Solar Photovoltaic Installers","185","185","0"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","1708","1708","0"
"CON-Helpers, Construction Trades","329","314","15"
"CON-Construction And Building Inspectors","851","747","104"
"CON-Elevator And Escalator Installers And Repairers","16","3","13"
"CON-Fence Erectors","647","647","0"
"CON-Hazardous Materials Removal Workers","289","245","44"
"CON-Highway Maintenance Workers","1568","1397","171"
"CON-Rail-Track Laying And Maintenance Equipment Operators","91","91","0"
"CON-Other Construction And Related Workers","578","571","7"
"EXT-Surface Mining Machine Operators And Earth Drillers","781","781","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","20","20","0"
"EXT-Underground Mining Machine Operators","435","435","0"
"EXT-Other Extraction Workers","1144","1127","17"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","400","400","0"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","4228","4095","133"
"RPR-Computer, Automated Teller, And Office Machine Repairers","1728","1509","219"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","1797","1725","72"
"RPR-Avionics Technicians","137","115","22"
"RPR-Electric Motor, Power Tool, And Related Repairers","185","185","0"
"RPR-Audiovisual Equipment Installers And Repairers","394","394","0"
"RPR-Security And Fire Alarm Systems Installers","481","481","0"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","353","293","60"
"RPR-Aircraft Mechanics And Service Technicians","1918","1574","344"
"RPR-Automotive Body And Related Repairers","2081","2062","19"
"RPR-Automotive Glass Installers And Repairers","83","83","0"
"RPR-Automotive Service Technicians And Mechanics","8488","8352","136"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","3706","3667","39"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","2822","2730","92"
"RPR-Small Engine Mechanics","508","508","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","976","976","0"
"RPR-Control And Valve Installers And Repairers","361","361","0"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","5272","5099","173"
"RPR-Home Appliance Repairers","283","238","45"
"RPR-Maintenance Workers, Machinery","643","643","0"
"RPR-Millwrights","1588","1568","20"
"RPR-Industrial And Refractory Machinery Mechanics","6205","6020","185"
"RPR-Electrical Power-Line Installers And Repairers","2118","2111","7"
"RPR-Telecommunications Line Installers And Repairers","1761","1647","114"
"RPR-Precision Instrument And Equipment Repairers","605","561","44"
"RPR-Maintenance And Repair Workers, General","6157","5947","210"
